topicid,title,year,weight
131,ACM SIGAPL APL Quote Quad,1991,0.2243
170,ACM SIGAPL APL Quote Quad,1991,0.3414
220,ACM SIGAPL APL Quote Quad,1991,0.3236
233,ACM SIGAPL APL Quote Quad,1991,0.30075
244,ACM SIGAPL APL Quote Quad,1991,0.4677
248,ACM SIGAPL APL Quote Quad,1991,0.2374
17,ACM SIGAPL APL Quote Quad,1992,0.38615
31,ACM SIGAPL APL Quote Quad,1992,0.2051
39,ACM SIGAPL APL Quote Quad,1992,0.380491892
45,ACM SIGAPL APL Quote Quad,1992,0.31795
74,ACM SIGAPL APL Quote Quad,1992,0.6063
177,ACM SIGAPL APL Quote Quad,1992,0.3708
180,ACM SIGAPL APL Quote Quad,1992,0.39215
197,ACM SIGAPL APL Quote Quad,1992,0.3139
208,ACM SIGAPL APL Quote Quad,1992,0.2612
220,ACM SIGAPL APL Quote Quad,1992,0.2105
244,ACM SIGAPL APL Quote Quad,1992,0.4367
16,ACM SIGAPL APL Quote Quad,1993,0.3011
17,ACM SIGAPL APL Quote Quad,1993,0.3585
31,ACM SIGAPL APL Quote Quad,1993,0.3069
39,ACM SIGAPL APL Quote Quad,1993,0.433551282
45,ACM SIGAPL APL Quote Quad,1993,0.2717
74,ACM SIGAPL APL Quote Quad,1993,0.47815
177,ACM SIGAPL APL Quote Quad,1993,0.376733333
180,ACM SIGAPL APL Quote Quad,1993,0.3792
233,ACM SIGAPL APL Quote Quad,1993,0.2062
244,ACM SIGAPL APL Quote Quad,1993,0.3261
17,ACM SIGAPL APL Quote Quad,1994,0.29875
31,ACM SIGAPL APL Quote Quad,1994,0.3101
39,ACM SIGAPL APL Quote Quad,1994,0.418192683
67,ACM SIGAPL APL Quote Quad,1994,0.42725
74,ACM SIGAPL APL Quote Quad,1994,0.27465
118,ACM SIGAPL APL Quote Quad,1994,0.2506
124,ACM SIGAPL APL Quote Quad,1994,0.2673
131,ACM SIGAPL APL Quote Quad,1994,0.2095
150,ACM SIGAPL APL Quote Quad,1994,0.3435
170,ACM SIGAPL APL Quote Quad,1994,0.3749
177,ACM SIGAPL APL Quote Quad,1994,0.4025
220,ACM SIGAPL APL Quote Quad,1994,0.36675
248,ACM SIGAPL APL Quote Quad,1994,0.2146
39,ACM SIGAPL APL Quote Quad,1995,0.404315625
67,ACM SIGAPL APL Quote Quad,1995,0.3489
